location_id,country_iso_code,city
1912,UZ,Tashkent
1913,UZ,Tashkent
1914,UZ,Tashkent
1915,UZ,Tashkent
1916,UZ,Tashkent
1917,UZ,Tashkent
1918,UZ,Tashkent
1919,UZ,
1920,UZ,Tashkent
1921,UZ,Tashkent
1922,UZ,Tashkent
1923,UZ,Tashkent
1924,UZ,Tashkent
1925,US,
1926,UZ,Tashkent
1927,UZ,Tashkent
1928,UZ,Tashkent
1929,UZ,Tashkent
1930,UZ,Tashkent
1931,UZ,Tashkent
1932,UZ,Tashkent
1933,UZ,Tashkent
1934,UZ,Tashkent
1935,IE,
1936,UZ,Tashkent
1937,UZ,Tashkent
1938,UZ,Tashkent
1939,UZ,Tashkent
1940,UZ,Tashkent
1941,UZ,Tashkent
1942,UZ,Tashkent
1943,UZ,Tashkent
1944,UZ,Tashkent
1945,UZ,Tashkent
1946,UZ,Tashkent
1947,UZ,Tashkent
1948,UZ,Tashkent
1949,UZ,Tashkent
1950,UZ,Tashkent
1951,UZ,Tashkent
1952,UZ,Tashkent
1953,UZ,Tashkent
1954,UZ,Tashkent
1955,UZ,Tashkent
1956,UZ,Tashkent
1957,UZ,Tashkent
1958,UZ,Tashkent
1959,UZ,Samarkand
1960,US,Ashburn
1961,UZ,Tashkent
1962,UZ,Tashkent
1963,UZ,Tashkent
1964,UZ,Tashkent
1965,LU,Luxembourg
1966,UZ,Tashkent
1967,UZ,Tashkent
1968,UZ,Tashkent
1969,UZ,Tashkent
1970,PL,Warsaw
1971,UZ,Tashkent
1972,UZ,Tashkent
1973,UZ,Tashkent
1974,UZ,Tashkent
1975,UZ,
1976,UZ,
1977,UZ,
1978,UZ,Tashkent
1979,UZ,Tashkent
1980,UZ,Tashkent
1981,UZ,Tashkent
1982,SE,Luleå
1983,UZ,
1984,UZ,Tashkent
1985,UZ,Tashkent
1986,UZ,Tashkent
1987,UZ,Tashkent
1988,UZ,Tashkent
1989,UZ,Tashkent
1990,UZ,Tashkent
1991,UZ,Tashkent
1992,UZ,Tashkent
1993,UZ,Tashkent
1994,UZ,Tashkent
1995,UZ,Tashkent
1996,UZ,Tashkent
1997,UZ,Tashkent
1998,UZ,Tashkent
1999,UZ,Tashkent
2000,UZ,Tashkent
2001,UZ,Tashkent
2002,UZ,Tashkent
2003,UZ,Tashkent
2004,UZ,Tashkent
2005,UZ,Tashkent
2006,UZ,Tashkent
2007,UZ,Tashkent
2008,UZ,Tashkent
2009,UZ,Tashkent
2010,UZ,Tashkent
2011,UZ,Tashkent
2012,UZ,Tashkent
2013,UZ,Tashkent
2014,UZ,Tashkent
2015,UZ,Tashkent
2016,UZ,Tashkent
2017,UZ,Tashkent
2018,RU,Kaliningrad
2019,UZ,
2020,UZ,Tashkent
2021,UZ,Tashkent
2022,UZ,Tashkent
2023,UZ,Tashkent
2024,UZ,Tashkent
2025,UZ,Tashkent
2026,UZ,Tashkent
2027,UZ,Tashkent
2028,UZ,Tashkent
2029,UZ,Tashkent
2030,UZ,Tashkent
2031,UZ,Tashkent
2032,UZ,Tashkent
2033,UZ,Tashkent
2034,UZ,Tashkent
2035,UZ,Tashkent
2036,UZ,Tashkent
2037,US,Ashburn
2038,UZ,Tashkent
2039,UZ,Tashkent
2040,UZ,Tashkent
2041,UZ,Tashkent
2042,UZ,Tashkent
2043,UZ,Tashkent
2044,UZ,Tashkent
2045,UZ,Tashkent
2046,UZ,Tashkent
2047,UZ,Tashkent
2048,UZ,Tashkent
2049,UZ,Tashkent
2050,UZ,Tashkent
2051,UZ,Tashkent
2052,UZ,Tashkent
2053,UZ,Tashkent
2054,RU,Vladimir
2055,UZ,Tashkent
2056,UZ,Tashkent
2057,UZ,Andijan
2058,UZ,Tashkent
2059,UZ,Tashkent
2060,UZ,Tashkent
2061,IN,Nagpur
2062,UZ,Tashkent
2063,UZ,Tashkent
2064,UZ,Tashkent
2065,UZ,Tashkent
2066,UZ,Tashkent
2067,UZ,Tashkent
2068,UZ,Tashkent
2069,UZ,Tashkent
2070,UZ,Tashkent
2071,UZ,Tashkent
2072,UZ,Tashkent
2073,UZ,Tashkent
2074,UZ,Tashkent
2075,UZ,Tashkent
2076,US,Mountain View
2077,UZ,Tashkent
2078,UZ,Tashkent
2079,UZ,Tashkent
2080,UZ,Tashkent
2081,UZ,Tashkent
2082,AU,Sydney
2083,UZ,Tashkent
2084,UZ,Tashkent
2085,UZ,Tashkent
2086,UZ,Tashkent
2087,UZ,Tashkent
2088,UZ,
2089,UZ,Tashkent
2090,UZ,Tashkent
2091,UZ,Tashkent
2092,UZ,Tashkent
2093,UZ,Tashkent
2094,UZ,Tashkent
2095,UZ,Tashkent
2096,UZ,Tashkent
2097,UZ,Tashkent
2098,UZ,Tashkent
2099,UZ,Tashkent
2100,UZ,Tashkent
2101,UZ,Tashkent
2102,UZ,Tashkent
2103,UZ,Tashkent
2104,UZ,Tashkent
2105,UZ,Tashkent
2106,UZ,Tashkent
2107,UZ,Tashkent
2108,UZ,Tashkent
2109,UZ,Tashkent
2110,UZ,Tashkent
2111,UZ,Tashkent
2112,UZ,Tashkent
2113,UZ,Tashkent
2114,UZ,Tashkent
2115,UZ,Tashkent
2116,UZ,Tashkent
2117,UZ,Tashkent
2118,UZ,Tashkent
2119,UZ,Tashkent
2120,UZ,
2121,UZ,Tashkent
2122,UZ,Tashkent
2123,UZ,Tashkent
2124,UZ,Tashkent
2125,UZ,Tashkent
2126,UZ,Tashkent
2127,UZ,Tashkent
2128,UZ,Tashkent
2129,UZ,Tashkent
2130,UZ,Tashkent
2131,UZ,Tashkent
2132,UZ,Tashkent
2133,UZ,Tashkent
2134,UZ,Tashkent
2135,UZ,Tashkent
2136,UZ,Tashkent
2137,UZ,Tashkent
2138,UZ,Tashkent
2139,UZ,Tashkent
2140,UZ,Dzhizak
2141,UZ,Tashkent
2142,UZ,Tashkent
2143,UZ,Tashkent
2144,UZ,Tashkent
2145,UZ,Tashkent
2146,UZ,Tashkent
2147,UZ,Tashkent
2148,UZ,Tashkent
2149,UZ,Tashkent
2150,UZ,Tashkent
2151,UZ,Tashkent
2152,UZ,Tashkent
2153,UZ,Tashkent
2154,UZ,Tashkent
2155,UZ,Tashkent
2156,UZ,Tashkent
2157,UZ,Tashkent
2158,UZ,Tashkent
2159,UZ,Tashkent
2160,UZ,Tashkent
2161,UZ,Tashkent
2162,UZ,Tashkent
2163,GB,London
2164,UZ,
2165,UZ,Tashkent
2166,UZ,Tashkent
2167,UZ,Tashkent
2168,UZ,Tashkent
2169,UZ,Tashkent
2170,UZ,Tashkent
2171,UZ,Tashkent
2172,UZ,Tashkent
2173,UZ,Tashkent
2174,UZ,Tashkent
2175,UZ,Tashkent
2176,UZ,Tashkent
2177,UZ,Tashkent
2178,UZ,Tashkent
2179,UZ,Tashkent
2180,RU,Vladimir
2181,UZ,Tashkent
2182,UZ,Tashkent
2183,UZ,Tashkent
2184,UZ,Tashkent
2185,UZ,Tashkent
2186,UZ,Phergana
2187,UZ,Tashkent
2188,UZ,Samarkand
2189,UZ,Tashkent
2190,UZ,Tashkent
2191,UZ,Tashkent
2192,UZ,Tashkent
2193,UZ,Samarkand
2194,UZ,Tashkent
2195,UZ,Tashkent
2196,UZ,Tashkent
2197,UZ,Tashkent
2198,UZ,Tashkent
2199,UZ,Tashkent
2200,IL,Holon
2201,UZ,Tashkent
2202,UZ,
2203,UZ,Tashkent
2204,UZ,Tashkent
2205,UZ,Tashkent
2206,UZ,Tashkent
2207,UZ,Tashkent
2208,UZ,Tashkent
2209,UZ,Tashkent
2210,UZ,Tashkent
2211,UZ,Tashkent
2212,UZ,
2213,UZ,Tashkent
2214,UZ,Tashkent
2215,UZ,Tashkent
2216,UZ,Tashkent
2217,UZ,Tashkent
2218,UZ,Tashkent
2219,UZ,Tashkent
2220,UZ,Tashkent
2221,UZ,Tashkent
2222,UZ,Tashkent
2223,KZ,Almaty
2224,UZ,Tashkent
2225,UZ,Tashkent
2226,UZ,Tashkent
2227,UZ,Tashkent
2228,UZ,Tashkent
2229,UZ,Tashkent
2230,UZ,Tashkent
2231,UZ,Tashkent
2232,UZ,Tashkent
2233,UZ,Tashkent
2234,UZ,Tashkent
2235,UZ,Tashkent
2236,UZ,Tashkent
2237,UZ,Tashkent
2238,UZ,Tashkent
2239,UZ,Tashkent
2240,UZ,Tashkent
2241,UZ,Tashkent
2242,UZ,Tashkent
2243,UZ,Tashkent
2244,UZ,Tashkent
2245,UZ,Tashkent
2246,UZ,Tashkent
2247,UZ,Tashkent
2248,UZ,Tashkent
2249,UZ,Tashkent
2250,UZ,Navoi
2251,UZ,Samarkand
2252,UZ,Tashkent
2253,UZ,Tashkent
2254,FR,
2255,UZ,Tashkent
2256,UZ,Tashkent
2257,UZ,Tashkent
2258,UZ,Tashkent
2259,UZ,Tashkent
2260,UZ,Tashkent
2261,UZ,Tashkent
2262,UZ,Tashkent
2263,UZ,Tashkent
2264,UZ,Tashkent
2265,UZ,Tashkent
2266,NL,
2267,UZ,Tashkent
2268,UZ,Tashkent
2269,UZ,Tashkent
2270,RU,Ivanteevka
2271,UZ,Tashkent
2272,UZ,Tashkent
2273,UZ,Tashkent
2274,UZ,Tashkent
2275,DE,Wiesbaden
2276,UZ,
2277,UZ,Tashkent
2278,UZ,Tashkent
2279,UZ,Tashkent
2280,UZ,Tashkent
2281,UZ,Tashkent
2282,UZ,Tashkent
2283,UZ,Tashkent
2284,UZ,Tashkent
2285,UZ,Tashkent
2286,UZ,Tashkent
2287,UZ,Tashkent
2288,UZ,Tashkent
2289,UZ,Samarkand
2290,UZ,Tashkent
2291,RU,Vladimir
2292,UZ,Tashkent
2293,UZ,Tashkent
2294,UZ,Tashkent
2295,UZ,
2296,NL,
2297,UZ,Tashkent
2298,UZ,Tashkent
2299,UZ,Tashkent
2300,UZ,Tashkent
2301,UZ,Tashkent
2302,UZ,Tashkent
2303,UZ,Tashkent
2304,UZ,Tashkent
2305,UZ,Tashkent
2306,UZ,Tashkent
2307,GB,London
2308,UZ,Tashkent
2309,UZ,Tashkent
2310,UZ,Tashkent
2311,UZ,Tashkent
2312,UZ,Tashkent
2313,UZ,Tashkent
2314,UZ,Samarkand
2315,UZ,Tashkent
2316,UZ,Tashkent
2317,UZ,Tashkent
2318,UZ,Tashkent
2319,UZ,Tashkent
2320,UZ,Tashkent
2321,UZ,Tashkent
2322,UZ,Tashkent
2323,UZ,Tashkent
2324,UZ,Tashkent
2325,UZ,Tashkent
2326,UZ,Tashkent
2327,UZ,Tashkent
2328,UZ,Tashkent
2329,UZ,Tashkent
2330,UZ,Tashkent
2331,UZ,
2332,UZ,Tashkent
2333,UZ,Tashkent
2334,UZ,Tashkent
2335,UZ,Tashkent
2336,UZ,Tashkent
2337,UZ,Tashkent
2338,UZ,Tashkent
2339,UZ,Tashkent
2340,UZ,Tashkent
2341,UZ,Tashkent
2342,UZ,Tashkent
2343,UZ,Tashkent
2344,UZ,Tashkent
2345,UZ,Tashkent
2346,UZ,Tashkent
2347,UZ,Navoi
2348,UZ,Tashkent
2349,UZ,
2350,UZ,Tashkent
2351,UZ,Tashkent
2352,UZ,Tashkent
2353,UZ,Samarkand
2354,UZ,Tashkent
2355,UZ,Tashkent
2356,UZ,Andijan
2357,UZ,Tashkent
2358,UZ,Tashkent
2359,UZ,
2360,UZ,Tashkent
2361,UZ,Tashkent
2362,UZ,Tashkent
2363,UZ,Tashkent
2364,UZ,Tashkent
2365,UZ,Tashkent
2366,UZ,Tashkent
2367,UZ,Tashkent
2368,UZ,Tashkent
2369,UZ,Tashkent
2370,UZ,Tashkent
2371,UZ,Tashkent
2372,UZ,Tashkent
2373,UZ,Tashkent
2374,UZ,
2375,UZ,
2376,UZ,Tashkent
2377,UZ,Tashkent
2378,UZ,Tashkent
2379,UZ,Tashkent
2380,UZ,Tashkent
2381,UZ,Tashkent
2382,UZ,
2383,UZ,Tashkent
2384,UZ,Tashkent
2385,UZ,Tashkent
2386,UZ,Tashkent
2387,UZ,Tashkent
2388,UZ,Tashkent
2389,UZ,Tashkent
2390,UZ,Tashkent
2391,UZ,Tashkent
2392,UZ,Tashkent
2393,UZ,Tashkent
2394,UZ,Tashkent
2395,UZ,Tashkent
2396,UZ,Tashkent
2397,UZ,Tashkent
2398,UZ,Tashkent
2399,UZ,Tashkent
2400,UZ,Tashkent
2401,UZ,Tashkent
2402,UZ,Tashkent
2403,UZ,Tashkent
2404,RU,Moscow
2405,US,Nashville
2406,UZ,Tashkent
2407,UZ,
2408,UZ,Tashkent
2409,UZ,Tashkent
2410,UZ,Tashkent
2411,UZ,Tashkent
2412,UZ,Tashkent
2413,UZ,Tashkent
2414,UZ,Tashkent
2415,UZ,
2416,UZ,Tashkent
2417,UZ,Tashkent
2418,UZ,Tashkent
2419,UZ,Tashkent
2420,UZ,Tashkent
2421,UZ,Tashkent
2422,UZ,Tashkent
2423,UZ,Tashkent
2424,UZ,Tashkent
2425,UZ,Tashkent
2426,UZ,Tashkent
2427,UZ,Tashkent
2428,UZ,Tashkent
2429,UZ,Tashkent
2430,UZ,Tashkent
2431,UZ,Tashkent
2432,UZ,Tashkent
2433,UZ,
2434,UZ,Tashkent
2435,UZ,Tashkent
2436,UZ,Tashkent
2437,UZ,Tashkent
2438,UZ,Tashkent
2439,UZ,Tashkent
2440,UZ,Tashkent
2441,UZ,Tashkent
2442,UZ,Tashkent
2443,UZ,Tashkent
2444,UZ,Tashkent
2445,UZ,Tashkent
2446,UZ,Tashkent
2447,UZ,Tashkent
2448,UZ,Tashkent
2449,UZ,Tashkent
2450,UZ,Tashkent
2451,UZ,Tashkent
2452,UZ,Tashkent
2453,UZ,Tashkent
2454,UZ,Tashkent
2455,UZ,Tashkent
2456,UZ,Tashkent
