osys_id,os_name,os_version
1840,android,9
1841,android,10
1842,android,8.1.0
1843,windows,10.0
1844,android,10
1845,android,10
1846,android,13
1847,android,10
1848,android,10
1849,android,12
1850,android,10
1851,android,9
1852,android,10
1853,android,10
1854,windows,10.0
1855,android,12
1856,android,8.1.0
1857,ios,17.0.3
1858,android,13
1859,android,10
1860,linux,
1861,android,10
1862,android,10
1863,ios,17.0.3
1864,ios,16.7
1865,android,12
1866,android,10
1867,,
1868,android,13
1869,ios,17.0.3
1870,android,10
1871,android,10
1872,android,10
1873,android,10
1874,ios,16.1
1875,android,10
1876,ios,16.6.1
1877,android,11
1878,android,13
1879,android,10
1880,android,10
1881,android,10
1882,windows,10.0
1883,android,10
1884,android,10
1885,android,7.0
1886,android,13
1887,ios,16.5
1888,android,10
1889,macos,10.15.7
1890,android,10
1891,android,10
1892,ios,14.0
1893,android,10
1894,android,10
1895,android,10
1896,android,9
1897,ios,16.6.1
1898,ios,16.6.1
1899,ios,17.0.3
1900,android,11
1901,android,13
1902,android,11
1903,android,13
1904,android,10
1905,ios,16.6.1
1906,ios,17.0.3
1907,android,13
1908,android,11
1909,ios,16.1.1
1910,ios,17.1
1911,android,10
1912,android,10
1913,android,10
1914,windows,10.0
1915,android,13
1916,android,13
1917,ios,17.0.3
1918,android,13
1919,android,10
1920,android,11
1921,android,10
1922,ios,16.1.1
1923,ios,17.0.3
1924,android,10
1925,ios,16.6.1
1926,ios,16.6.1
1927,ios,16.4.1
1928,android,10
1929,android,10
1930,android,10
1931,android,13
1932,android,13
1933,ios,16.6.1
1934,android,10
1935,,
1936,android,11
1937,android,10
1938,ios,16.0
1939,ios,15.0.2
1940,android,12
1941,android,10
1942,ios,16.0.2
1943,android,10
1944,android,10
1945,ios,16.1
1946,android,12
1947,ios,17.0.3
1948,android,10
1949,ios,16.7.2
1950,android,10
1951,android,10
1952,android,10
1953,android,10
1954,android,10
1955,android,10
1956,android,10
1957,android,10
1958,ios,17.0.3
1959,linux,
1960,,
1961,android,10
1962,android,10
1963,android,13
1964,android,10
1965,android,10
1966,windows,10.0
1967,android,11
1968,android,10
1969,ios,17.0.3
1970,android,10
1971,windows,10.0
1972,windows,10.0
1973,android,10
1974,android,10
1975,android,10
1976,ios,16.6.1
1977,ios,16.6.1
1978,android,13
1979,ios,17.1
1980,linux,
1981,ios,16.2
1982,android,12
1983,android,13
1984,android,10
1985,android,11
1986,android,13
1987,android,10
1988,android,12
1989,android,5.1.1
1990,ios,16.3
1991,android,9
1992,android,12
1993,android,13
1994,android,10
1995,android,13
1996,android,10
1997,android,10
1998,android,10
1999,ios,17.0.1
2000,android,12
2001,android,10
2002,android,11
2003,android,11
2004,android,10
2005,android,13
2006,android,13
2007,android,11
2008,ios,16.6.1
2009,ios,15.6.1
2010,android,10
2011,ios,16.1.2
2012,ios,12.5.7
2013,android,10
2014,android,10
2015,ios,17.0.3
2016,android,10
2017,ios,16.6.1
2018,ios,17.0.3
2019,ios,17.1
2020,android,11
2021,android,10
2022,android,10
2023,android,10
2024,ios,17.0.3
2025,android,12
2026,windows,10.0
2027,android,12
2028,android,13
2029,ios,16.6
2030,android,12
2031,android,10
2032,android,10
2033,android,12
2034,android,10
2035,android,10
2036,android,10
2037,,
2038,android,12
2039,android,13
2040,android,10
2041,android,10
2042,android,10
2043,android,12
2044,ios,17.0.3
2045,android,12
2046,android,10
2047,android,13
2048,android,10
2049,android,13
2050,android,10
2051,android,10
2052,android,10
2053,android,10
2054,,
2055,android,13
2056,android,10
2057,ios,17.0.3
2058,ios,17.0.3
2059,android,10
2060,android,13
2061,windows,10.0
2062,android,10
2063,android,10
2064,ios,16.2
2065,android,13
2066,android,11
2067,android,10
2068,android,10
2069,android,11
2070,ios,16.6.1
