app_id,application_id,publisher_name
1809,4391677,Korzinka
1810,4391677,Korzinka
1811,4391677,Korzinka
1812,4391677,???????
1813,4391677,Korzinka
1814,4391677,Korzinka
1815,4391677,Korzinka
1816,4391677,Lebazar_media
1817,4391677,Lebazar_media
1818,4391677,Korzinka
1819,4391677,Korzinka
1820,4391677,Korzinka
1821,4391677,Lebazar_old_app
1822,4391677,?????????
1823,4391677,Korzinka
1824,4391677,Korzinka
1825,4391677,???????
1826,4391677,Korzinka
1827,4391677,Korzinka
1828,4391677,Korzinka
1829,4391677,Korzinka
1830,4391677,Korzinka
1831,4391677,???????
1832,4391677,Korzinka
1833,4391677,Lebazar_media
1834,4391677,Korzinka
1835,4391677,Korzinka
1836,4391677,Korzinka
1837,4391677,Korzinka
1838,4391677,???????
1839,4391677,Korzinka
1840,4391677,Korzinka
1841,4391677,Lebazar_old_app
1842,4391677,Korzinka
1843,4391677,Korzinka
1844,4391677,Korzinka
1845,4391677,Korzinka
1846,4391677,Korzinka
1847,4391677,Korzinka
1848,4391677,Korzinka
1849,4391677,Korzinka
1850,4391677,Korzinka
1851,4391677,Korzinka
1852,4391677,Korzinka
1853,4391677,Korzinka
1854,4391677,Korzinka
1855,4391677,Korzinka
1856,4391677,Korzinka
1857,4391677,Korzinka
1858,4391677,Korzinka
1859,4391677,Korzinka
1860,4391677,Korzinka
1861,4391677,Korzinka
1862,4391677,Korzinka
